Timestamp,Open,High,Low,Close,Vol,VolCcy,Rate
2018/6/26,6247.2,6270.8,6014.2,6065.1,8433.016891,52220685.27805153,2.33
2018/6/27,6065.1,6181.9,5995.4,6137.1,8345.229512,50836370.30098426,2.33
2018/6/28,6137.1,6171.6,5829.3,5850.6,7941.333859,48183550.41630928,2.33
2018/6/29,5850.6,6300,5794.3,6199.4,9459.876419,56149370.44606535,2.33
2018/6/30,6195.9,6516.6,6188.8,6394.7,9334.718405,59509010.98051457,2.33
2018/7/1,6394.7,6441.6,6260,6360.2,6782.960091,43116118.25,2.33
2018/7/2,6355.2,6679.6,6272.4,6610.4,8869.885646,57472352.93982613,2.34
2018/7/3,6610.7,6679.9,6464.3,6514.8,8206.570438,54104770.17160637,2.33
2018/7/4,6514.6,6799.9,6418,6588.4,8619.827046,56677146.14483234,2.33
2018/7/5,6584.7,6698.6,6460,6538.6,9320.41911,61391572.97951348,2.32
2018/7/6,6537.7,6642.4,6442.3,6608.8,7679.1402,50197922.05583615,2.34
2018/7/7,6611.7,6829.9,6511,6757.8,7310.867112,48258465.09,2.34
2018/7/8,6757.8,6780.4,6678.6,6705.3,6163.412853,41543943.60399709,2.34
2018/7/9,6705.6,6801,6618,6655.6,6900.353005,46269051.20881064,2.34
2018/7/10,6660.9,6674.4,6268.4,6296.2,9518.279666,61548344.99509487,2.36
2018/7/11,6300.4,6403.5,6280,6377.7,9119.128251,57889252.03,2.36
2018/7/12,6376,6376.2,6075.4,6250.8,9486.468587,59021391.09347339,2.39
2018/7/13,6253,6338.5,6123.9,6218.2,7919.806684,49400039.66653485,2.37
2018/7/14,6219.4,6327.5,6180.9,6250.5,5153.217867,32137192.63584854,2.37
2018/7/15,6249.9,6396.9,6225.3,6349.6,6217.805563,39341724.9,2.37
2018/7/16,6350.4,6747.9,6331.8,6722,8349.445755,54569479.43830215,2.39
2018/7/17,6720.4,7460,6656,7313,10307.63608,71891280.31264621,2.39
2018/7/18,7313.4,7584.7,7240,7378.6,11176.18572,82796752.79289602,2.43
2018/7/19,7379.2,7563.3,7273.8,7475.9,9149.75512,67725783.22,2.4
2018/7/20,7471.5,7696.3,7280,7339.9,10299.27212,76552974.89150341,2.41
2018/7/21,7339.9,7461.6,7217.1,7392.6,7689.631352,56468320.12206913,2.41
2018/7/22,7398,7576.7,7335,7395.7,7869.254757,58609645.18948584,2.41
2018/7/23,7398.8,7812,7371.4,7717.9,12960.5321,99630447.06034394,2.42
2018/7/24,7717.9,8486,7690.4,8395,14790.98262,119075455.38539565,2.42
2018/7/25,8405.9,8488.8,8060.6,8169.1,10232.53977,84532680.33744209,2.42
2018/7/26,8172,8310.3,7857.4,7928.7,9445.504587,77102359.48668927,2.41
2018/7/27,7927.6,8279.1,7800,8188.5,11007.75764,88371584.95493153,2.43
2018/7/28,8186.8,8243.7,7500,8228.7,7790.430337,63624206.79253607,2.43
2018/7/29,8228.6,8294.4,8120,8211.9,7726.621208,63399494.94,2.43
2018/7/30,8214.8,8275.4,7868.2,8173.9,12597.10227,102185705.59066012,2.43
